Sentence,Entity,Output
Let's go for ອາຫານເພື່ອສຸຂະພາບ,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
My location is Taitung County,Location,Taitung County
I can afford 272,Money,272
From Borikhamxay here,Location,Borikhamxay
I live in Luang Prabang,Location,Luang Prabang
I have 288 to spend,Money,288
Nibong Tebal is where I live,Location,Nibong Tebal
I'm ready to spend 234,Money,234
I have around 898 for the meal,Money,898
Living in Sahiwal,Location,Sahiwal
I'm interested in Francia,Cuisine,Francia
I want to spend around 478,Money,478
I can afford 439,Money,439
I would like Pulao cuisine,Cuisine,Pulao
I want to spend around 722,Money,722
I enjoy Korean,Cuisine,Korean
I love Alcoholic Drinks food,Cuisine,Alcoholic Drinks
Nong Bua Lam Phu is where I reside,Location,Nong Bua Lam Phu
From Madaripur here,Location,Madaripur
I can spend up to 832,Money,832
I love အနောက်တိုင်းအစားအစာ food,Cuisine,အနောက်တိုင်းအစားအစာ
My current Yunlin County is Yunlin County,Location,Yunlin County
I enjoy Cakes & Bakery,Cuisine,Cakes & Bakery
I would like Chotpoti & Fuchka cuisine,Cuisine,Chotpoti & Fuchka
Pingtung County is my home,Location,Pingtung County
I would like 飲料 cuisine,Cuisine,飲料
I'm craving ຫວຽດນາມ,Cuisine,ຫວຽດນາມ
Makati City is where I reside,Location,Makati City
I would like Grécka cuisine,Cuisine,Grécka
I live in Cyberjaya,Location,Cyberjaya
I have 325 to spend,Money,325
From Nové Zámky here,Location,Nové Zámky
Currently in Kepala Batas,Location,Kepala Batas
My budget is 340,Money,340
I'm willing to pay 408,Money,408
Satay is my favorite,Cuisine,Satay
I'm in Liptovský Mikuláš,Location,Liptovský Mikuláš
I'm willing to pay 498,Money,498
Malaysian is my favorite,Cuisine,Malaysian
I have around 487 for the meal,Money,487
I'm ready to spend 248,Money,248
I have 779 to spend,Money,779
I want to spend around 986,Money,986
Let's go for မုန့်တိုက်,Cuisine,မုန့်တိုက်
Living in Petaling Jaya,Location,Petaling Jaya
Hailing from Sheikhupura,Location,Sheikhupura
I'm looking for something within 888,Money,888
I'm ready to spend 270,Money,270
My current Vientiane Province is Vientiane Province,Location,Vientiane Province
I reside in Sialkot,Location,Sialkot
My favorite is Cart Noodles,Cuisine,Cart Noodles
How about Ayam Penyet,Cuisine,Ayam Penyet
Yangon is where I reside,Location,Yangon
I'm ready to spend 376,Money,376
I want to try Havajská,Cuisine,Havajská
I have around 39 for the meal,Money,39
I'm looking for something within 98,Money,98
I'm looking for something within 432,Money,432
I enjoy ກາເຟ & ຊາ,Cuisine,ກາເຟ & ຊາ
I have 135 to spend,Money,135
I have around 162 for the meal,Money,162
I'm interested in Ayam Penyet,Cuisine,Ayam Penyet
I'm looking for something within 814,Money,814
Hailing from Győr,Location,Győr
I'm in the mood for ກະແລັມ,Cuisine,ກະແລັມ
I live in Koronadal South Cotabato,Location,Koronadal South Cotabato
Kulai is my current location,Location,Kulai
I enjoy Fried Rice,Cuisine,Fried Rice
Currently in Cebu City Cebu,Location,Cebu City Cebu
I have around 374 for the meal,Money,374
I'm looking for something within 945,Money,945
In Rahim Yar Khan right now,Location,Rahim Yar Khan
My budget is 916,Money,916
My current Malolos Bulacan is Malolos Bulacan,Location,Malolos Bulacan
I'm comfortable spending 397,Money,397
I would like ອີຕາລີ cuisine,Cuisine,ອີຕາລີ
I want to spend around 954,Money,954
I have 579 to spend,Money,579
I'm interested in Isan Thai,Cuisine,Isan Thai
I live in Kampong Chhnang,Location,Kampong Chhnang
My current Prešov is Prešov,Location,Prešov
My home Nyíregyháza is Nyíregyháza,Location,Nyíregyháza
Johor Bahru is my current location,Location,Johor Bahru
I have 711 to spend,Money,711
I can spend up to 422,Money,422
From Puchong here,Location,Puchong
I'm interested in အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
I'm in the mood for အင်ဒိုနီးရှားအစားအစာ,Cuisine,အင်ဒိုနီးရှားအစားအစာ
Terengganu is where I live,Location,Terengganu
Nakhon Si Thammarat is my location,Location,Nakhon Si Thammarat
I'm looking for Pulao,Cuisine,Pulao
Living in Samut Sakhon,Location,Samut Sakhon
Spanish is my favorite,Cuisine,Spanish
I'm craving BBQ,Cuisine,BBQ
I can afford 530,Money,530
I am currently living in Huaphanh,Location,Huaphanh
I can spend up to 937,Money,937
I can spend up to 595,Money,595
I'm in the mood for Pancakes & Waffles,Cuisine,Pancakes & Waffles
I love ထမင်းပါသော ဟင်းလျာများ food,Cuisine,ထမင်းပါသော ဟင်းလျာများ
I'm craving ကြက်သား,Cuisine,ကြက်သား
Lahore is my current location,Location,Lahore
I have 535 to spend,Money,535
I can spend up to 888,Money,888
I can spend up to 288,Money,288
Living in Sukkur,Location,Sukkur
My budget is 859,Money,859
I can afford 318,Money,318
In Penghu County right now,Location,Penghu County
In Kampong Cham right now,Location,Kampong Cham
I can spend up to 24,Money,24
I'm looking for 素食,Cuisine,素食
I'm comfortable spending 381,Money,381
Living in Banteay Meanchey,Location,Banteay Meanchey
I want to spend around 351,Money,351
I enjoy ထမင်းပါသော ဟင်းလျာများ,Cuisine,ထမင်းပါသော ဟင်းလျာများ
I can afford 839,Money,839
I'm ready to spend 306,Money,306
I'm in Mudon,Location,Mudon
I'm willing to pay 673,Money,673
Sadiqabad is my home,Location,Sadiqabad
I would like Takoyaki cuisine,Cuisine,Takoyaki
I have 300 to spend,Money,300
I want to try Vietnamese,Cuisine,Vietnamese
I'm ready to spend 564,Money,564
I want to spend around 110,Money,110
Phichit is my current location,Location,Phichit
I'm looking for German,Cuisine,German
I can afford 220,Money,220
I would like Juice cuisine,Cuisine,Juice
I'm looking for something within 1000,Money,1000
I would like ອາຊີ cuisine,Cuisine,ອາຊີ
I have around 293 for the meal,Money,293
I'm interested in Vegetarian,Cuisine,Vegetarian
Jhelum is my home,Location,Jhelum
My favorite is Drinks,Cuisine,Drinks
My favorite is 歐美,Cuisine,歐美
I'm looking for Stredomorská,Cuisine,Stredomorská
Lamphun is my home,Location,Lamphun
I have around 542 for the meal,Money,542
I'm willing to pay 881,Money,881
I want to try ပီဇာ,Cuisine,ပီဇာ
I'm interested in Blízkovýchodná,Cuisine,Blízkovýchodná
My current Temerloh is Temerloh,Location,Temerloh
My home Attapeu is Attapeu,Location,Attapeu
Nantou County is my home,Location,Nantou County
I can spend up to 444,Money,444
I'm in Nakhon Phanom,Location,Nakhon Phanom
Let's go for Pancakes & Waffles,Cuisine,Pancakes & Waffles
Hailing from Chaiyaphum,Location,Chaiyaphum
I'm ready to spend 109,Money,109
I love Sinigang food,Cuisine,Sinigang
I have around 143 for the meal,Money,143
I have 56 to spend,Money,56
I would like မလေးရှားအစားအစာ cuisine,Cuisine,မလေးရှားအစားအစာ
I want to spend around 682,Money,682
My favorite is Takoyaki,Cuisine,Takoyaki
I want to try ຊານົມໄຂ່ມຸກ,Cuisine,ຊານົມໄຂ່ມຸກ
Coffee is my favorite,Cuisine,Coffee
Kajang is my location,Location,Kajang
I love Ulam food,Cuisine,Ulam
I'm ready to spend 579,Money,579
I have around 109 for the meal,Money,109
I would like ထမင်းပါသော ဟင်းလျာများ cuisine,Cuisine,ထမင်းပါသော ဟင်းလျာများ
In Shah Alam right now,Location,Shah Alam
I love 小吃 food,Cuisine,小吃
I love Asian food,Cuisine,Asian
My location is Surin,Location,Surin
Chai Nat is my current location,Location,Chai Nat
Rawang is my location,Location,Rawang
Luang Prabang is my current location,Location,Luang Prabang
Suphan Buri is where I reside,Location,Suphan Buri
I have 393 to spend,Money,393
I want to try Singaporean,Cuisine,Singaporean
I would like ອາຫານຟິວຊັນ cuisine,Cuisine,ອາຫານຟິວຊັນ
I'm willing to pay 939,Money,939
I have around 106 for the meal,Money,106
I want to spend around 672,Money,672
I'm comfortable spending 448,Money,448
In Rangpur right now,Location,Rangpur
I'm craving 台式,Cuisine,台式
I'm willing to pay 370,Money,370
I'm located in Chiang Rai,Location,Chiang Rai
I enjoy Fruit Shake,Cuisine,Fruit Shake
My favorite is Ayam Penyet,Cuisine,Ayam Penyet
Let's go for ອາເມລິກາ,Cuisine,ອາເມລິກາ
Living in Seri Iskandar,Location,Seri Iskandar
I would like Ramen cuisine,Cuisine,Ramen
I'm in Kuching,Location,Kuching
My budget is 54,Money,54
Török is my favorite,Cuisine,Török
I'm interested in Cha Chaan Teng,Cuisine,Cha Chaan Teng
My favorite is Cha Chaan Teng,Cuisine,Cha Chaan Teng
I'm willing to pay 654,Money,654
Nasi Kerabu is my favorite,Cuisine,Nasi Kerabu
I have around 897 for the meal,Money,897
I enjoy Takoyaki,Cuisine,Takoyaki
I'm willing to pay 132,Money,132
I'm craving Italian,Cuisine,Italian
I'm in the mood for Curry,Cuisine,Curry
How about Beverages,Cuisine,Beverages
I'm looking for something within 60,Money,60
I'm ready to spend 76,Money,76
Khammouane is where I live,Location,Khammouane
Currently in Kulim,Location,Kulim
I enjoy Rice Noodles,Cuisine,Rice Noodles
I have 849 to spend,Money,849
Savannakhet is where I live,Location,Savannakhet
I have 252 to spend,Money,252
I'm looking for something within 788,Money,788
I'm looking for 飲料,Cuisine,飲料
I'm craving လက်ဖက်ရည်နှင့် ကော်ဖီ,Cuisine,လက်ဖက်ရည်နှင့် ကော်ဖီ
I'm comfortable spending 659,Money,659
From Sylhet here,Location,Sylhet
Let's go for အရှေ့အလယ်ပိုင်းအစားအစာ,Cuisine,အရှေ့အလယ်ပိုင်းအစားအစာ
Sherpur is my location,Location,Sherpur
My favorite is 飲料,Cuisine,飲料
I love Ázsiai food,Cuisine,Ázsiai
Living in Bogra,Location,Bogra
Phnom Penh is where I live,Location,Phnom Penh
I'm craving Francúzska,Cuisine,Francúzska
I would like မြေထဲပင်လယ်အစားအစာ cuisine,Cuisine,မြေထဲပင်လယ်အစားအစာ
I'm in the mood for Západná,Cuisine,Západná
I have around 422 for the meal,Money,422
Currently in Yala,Location,Yala
I have around 48 for the meal,Money,48
I would like ဒင်ဆမ်း cuisine,Cuisine,ဒင်ဆမ်း
I'm comfortable spending 502,Money,502
I'm looking for Mediterranean,Cuisine,Mediterranean
Let's go for Taiwanese,Cuisine,Taiwanese
I'm in Kinmen County,Location,Kinmen County
I'm looking for something within 678,Money,678
Hsinchu City is my location,Location,Hsinchu City
I have around 987 for the meal,Money,987
I'm willing to pay 532,Money,532
I have 99 to spend,Money,99
How about ອາຫານທະເລ,Cuisine,ອາຫານທະເລ
I enjoy ဥရောပအစားအစာ,Cuisine,ဥရောပအစားအစာ
Szombathely is my place,Location,Szombathely
Taichung City is my place,Location,Taichung City
I'm looking for something within 229,Money,229
Let's go for စင်ကာပူအစားအစာ,Cuisine,စင်ကာပူအစားအစာ
Kampot is where I reside,Location,Kampot
My budget is 326,Money,326
I'm ready to spend 462,Money,462
Koronadal South Cotabato is my home,Location,Koronadal South Cotabato
Udon Thani is my current location,Location,Udon Thani
I'm located in Ipoh,Location,Ipoh
I'm willing to pay 612,Money,612
I'm willing to pay 821,Money,821
My location is Barisal,Location,Barisal
I want to try Spanish,Cuisine,Spanish
I'm looking for Vietnamese,Cuisine,Vietnamese
I'm located in Svay Rieng,Location,Svay Rieng
I want to spend around 97,Money,97
I am currently living in Segamat,Location,Segamat
I'm ready to spend 109,Money,109
Satkhira is my place,Location,Satkhira
I can afford 839,Money,839
I want to spend around 805,Money,805
I'm in Sukkur,Location,Sukkur
I want to spend around 417,Money,417
Lashio is my place,Location,Lashio
I love Olasz food,Cuisine,Olasz
I enjoy Grill,Cuisine,Grill
Currently in Sialkot,Location,Sialkot
Murree is my current location,Location,Murree
I'm in Faridpur,Location,Faridpur
I am currently living in Samut Sakhon,Location,Samut Sakhon
I love အချိုပွဲများ food,Cuisine,အချိုပွဲများ
My budget is 10,Money,10
Chachoengsao is where I reside,Location,Chachoengsao
I have 727 to spend,Money,727
I have around 206 for the meal,Money,206
My home Noakhali is Noakhali,Location,Noakhali
I want to spend around 569,Money,569
I'm looking for Dumpling,Cuisine,Dumpling
I'm willing to pay 996,Money,996
My favorite is 健康餐,Cuisine,健康餐
I want to try 韓式,Cuisine,韓式
Phetchabun is my place,Location,Phetchabun
I'm craving Nasi Kerabu,Cuisine,Nasi Kerabu
I have 543 to spend,Money,543
My home Szeged is Szeged,Location,Szeged
I'm craving Pizza,Cuisine,Pizza
I'm in the mood for ຂອງຫວານ,Cuisine,ຂອງຫວານ
I have 202 to spend,Money,202
Kampong Speu is my current location,Location,Kampong Speu
Hong Kong is my place,Location,Hong Kong
I want to spend around 305,Money,305
I enjoy Vietnamská,Cuisine,Vietnamská
I want to spend around 882,Money,882
I have around 230 for the meal,Money,230
My favorite is Nápoje,Cuisine,Nápoje
Let's go for အီတလီအစားအစာ,Cuisine,အီတလီအစားအစာ
I'm ready to spend 744,Money,744
I can afford 929,Money,929
My location is Aungpan,Location,Aungpan
I love Nasi Lemak food,Cuisine,Nasi Lemak
I can afford 895,Money,895
I would like Porridge cuisine,Cuisine,Porridge
Tangkak is where I reside,Location,Tangkak
I have around 395 for the meal,Money,395
I would like Kuih cuisine,Cuisine,Kuih
I'm looking for Italian,Cuisine,Italian
I would like Szerb cuisine,Cuisine,Szerb
My home Phuket is Phuket,Location,Phuket
I love Filipino food,Cuisine,Filipino
Hsinchu City is my place,Location,Hsinchu City
Let's go for Fries,Cuisine,Fries
I am currently living in Puchong,Location,Puchong
I would like International cuisine,Cuisine,International
My home Munshiganj is Munshiganj,Location,Munshiganj
I'm comfortable spending 744,Money,744
I want to spend around 520,Money,520
I live in Sialkot,Location,Sialkot
From Taitung County here,Location,Taitung County
I'm comfortable spending 857,Money,857
I can afford 740,Money,740
I'm looking for Ice Cream,Cuisine,Ice Cream
Uthai Thani is my current Uthai Thani,Location,Uthai Thani
I can spend up to 944,Money,944
I have around 626 for the meal,Money,626
My current Kerian is Kerian,Location,Kerian
I'm ready to spend 252,Money,252
My favorite is Chotpoti & Fuchka,Cuisine,Chotpoti & Fuchka
I enjoy 日式,Cuisine,日式
How about French,Cuisine,French
Dera Ghazi Khan is where I reside,Location,Dera Ghazi Khan
I am currently living in Natore,Location,Natore
Sherpur is where I live,Location,Sherpur
I'm craving Pakistani,Cuisine,Pakistani
From Hyderabad here,Location,Hyderabad
Living in Hsinchu City,Location,Hsinchu City
I'm craving ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ,Cuisine,ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ
I'm ready to spend 559,Money,559
I love Indická food,Cuisine,Indická
I'm in the mood for Noodles,Cuisine,Noodles
From Sing Buri here,Location,Sing Buri
I'm comfortable spending 998,Money,998
My home Port Dickson is Port Dickson,Location,Port Dickson
I'm located in Szeged,Location,Szeged
I have around 860 for the meal,Money,860
Let's go for ထိုင်းအစားအစာ,Cuisine,ထိုင်းအစားအစာ
My location is Dinajpur,Location,Dinajpur
